state,age,sex,educ,race,hispanic,CoB,citizen,ESR,cell_use_phone_calls,cell_use_text_msg,cell_use_photo_video,cell_use_browse_web,cell_use_email,cell_use_games,cell_use_social_media,cell_use_download_apps,cell_use_music
31,32,2,40,2,-1,57,1,6,1,1,1,1,2,2,2,1,1
31,43,2,40,1,-1,301,5,1,1,1,1,2,2,2,2,2,2
31,55,1,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
31,49,2,41,1,-1,109,3,6,1,1,1,1,1,2,1,2,2
31,32,1,39,1,-1,57,1,1,1,1,2,2,2,1,1,2,2
31,31,1,42,2,-1,57,1,1,1,1,1,1,2,2,1,1,1
31,53,2,43,1,-1,57,1,5,1,1,2,1,1,1,2,2,2
31,40,2,39,2,-1,454,5,1,1,1,1,2,2,2,2,2,1
31,44,2,37,2,-1,57,1,6,1,2,2,2,2,2,2,2,2
31,65,2,39,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
31,40,2,38,1,-1,57,1,6,1,1,1,1,1,2,1,1,1
31,48,1,40,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
31,54,1,39,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
31,58,1,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
31,44,2,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,65,2,40,1,-1,57,1,5,1,1,1,2,2,1,1,1,1
31,24,2,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,50,2,36,2,-1,57,1,6,1,2,2,2,2,2,2,2,2
31,51,2,41,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
31,46,1,40,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
31,24,2,35,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
31,63,1,39,1,-1,57,1,1,2,2,2,1,2,2,2,2,2
31,47,2,40,1,-1,57,1,1,1,1,1,2,1,2,1,1,1
31,24,2,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,42,1,39,1,-1,57,1,7,1,1,1,2,2,2,2,2,2
31,34,1,39,1,-1,57,1,1,2,1,2,2,2,2,2,2,2
31,64,1,39,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
31,26,2,39,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,61,2,40,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
31,25,2,43,1,-1,57,1,2,1,1,1,1,1,1,1,1,1
31,20,2,39,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
31,35,1,39,1,-1,57,1,1,1,1,1,1,2,2,1,2,2
31,65,2,40,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
23,31,1,43,1,-1,57,1,4,1,1,2,2,1,2,2,2,2
23,24,2,40,4,-1,220,4,7,1,1,1,1,1,1,1,1,1
23,23,1,43,4,-1,57,1,1,1,1,1,1,1,1,2,1,2
23,23,1,43,4,-1,207,5,7,1,1,1,1,1,1,2,1,2
23,42,2,43,2,-1,57,1,4,1,1,1,2,2,1,2,2,2
23,51,2,43,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
23,40,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
23,41,1,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
23,37,2,39,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
23,44,2,42,1,-1,57,1,2,1,2,2,2,2,2,2,2,2
23,65,1,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
23,47,1,44,1,-1,362,5,1,1,2,2,2,1,2,1,2,2
23,35,1,43,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
23,51,1,39,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
23,53,2,44,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
23,49,2,40,2,-1,57,1,6,1,1,2,2,2,2,2,2,2
23,21,2,40,1,-1,57,1,7,1,1,2,1,1,2,1,1,2
23,53,1,39,2,-1,57,1,6,1,2,2,2,2,2,2,2,2
23,65,1,39,1,-1,57,1,5,1,1,2,2,2,2,2,2,2
23,61,2,39,1,-1,57,1,7,1,1,2,2,2,2,2,2,2
23,33,1,39,1,-1,57,1,4,1,1,1,1,2,2,2,2,2
23,48,1,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
23,29,1,45,1,2,73,2,1,1,1,1,2,2,2,2,2,2
23,46,1,43,1,-1,57,1,1,1,1,2,1,2,2,2,2,2
23,37,1,39,1,-1,57,1,4,1,1,2,2,2,2,2,2,2
23,34,2,42,1,2,57,1,4,1,1,1,1,1,1,1,1,1
23,49,2,44,2,-1,57,1,1,1,1,2,2,2,2,2,2,2
23,34,1,43,1,-1,157,5,1,1,2,2,2,2,2,2,2,2
23,37,2,39,1,-1,57,1,1,1,1,1,1,2,1,1,1,2
